id,mm,sheet_name,remnant
0000502899,50/50W-9006,50/50W-9006,N
0000502900,50/50W-9006,50/50W-9006,N
0000502903,50/50W-9006,50/50W-9006,N
0000502904,50/50W-9006,50/50W-9006,N
0000502905,50/50W-9006,50/50W-9006,N
0000502908,50/50W-9006,50/50W-9006,N
0000502909,50/50W-9006,50/50W-9006,N
0000502910,50/50W-9006,50/50W-9006,N
0000502911,50/50W-9006,50/50W-9006,N
0000502912,50/50W-9006,50/50W-9006,N
0000502913,50/50W-9006,50/50W-9006,N
0000502914,50/50W-9006,50/50W-9006,N
0000502915,50/50W-9006,50/50W-9006,N
0000502916,50/50W-9008,50/50W-9008,N
0000502917,50/50W-9008,50/50W-9008,N
0000502918,50/50W-9008,50/50W-9008,N
0000502919,50/50W-9008,50/50W-9008,N
0000502920,50/50W-9008,50/50W-9008,N
0000502921,50/50W-9008,50/50W-9008,N
0000502922,50/50W-9008,50/50W-9008,N
0000502923,50/50W-9008,50/50W-9008,N
0000502901,50/50W-9010,50/50W-9010,N
0000502924,50/50W-9010,50/50W-9010,N
0000502925,50/50W-9010,50/50W-9010,N
0000502926,50/50W-9010,50/50W-9010,N
0000502927,50/50W-9010,50/50W-9010,N
0000502928,50/50W-9010,50/50W-9010,N
0000502929,50/50W-9010,50/50W-9010,N
0000502930,50/50W-9010,50/50W-9010,N
0000502931,50/50W-9012,50/50W-9012,N
0000502932,50/50W-9012,50/50W-9012,N
0000502933,50/50W-9012,SBX01,N
0000502934,50/50W-9012,50/50W-9012,N
0000502935,50/50W-9012,50/50W-9012,N
0000502936,50/50W-9012,50/50W-9012,N
0000502937,50/50W-9012,50/50W-9012,N
0000502938,50/50W-9012,50/50W-9012,N
0000502939,50/50W-9012,50/50W-9012,N
0000502940,50/50W-9012,SBX02,N
0000502941,50/50W-9012,50/50W-9012,N
0000502942,50/50W-9012,50/50W-9012,N
0000502943,50/50W-9012,SBX03,N
0000502944,50/50W-9012,50/50W-9012,N
0000502945,50/50W-9012,50/50W-9012,N
0000502946,50/50W-9100,50/50W-9100,N
0000502947,50/50W-9100,50/50W-9100,N
0000502948,50/50W-9100,SBX04,N
0000502949,50/50W-9100,50/50W-9100,N
0000502950,50/50W-9108,50/50W-9108,N
0000502951,50/50W-9108,50/50W-9108,N
0000502952,50/50W-9108,50/50W-9108,N
0000502953,50/50W-9108,50/50W-9108,N
